,postid,Name,ExtractName,Address,Year,GPA400,GPA375,GPA350,GPA325,GPA300,GPA250,GPA200,GPA100,GPA000
16,10080,Vanderbilt University,University of Utah,"201 Presidents Circle, Salt Lake City, Utah, 84112, United States",2023-2024,11.0%,39.0%,24.0%,17.0%,7.0%,2.0%,0.0%,0.0%,0.0%
17,10080,Vanderbilt University,University of Utah,"201 Presidents Circle, Salt Lake City, Utah, 84112, United States",2023-2024,11.0%,39.0%,24.0%,17.0%,7.0%,2.0%,0.0%,0.0%,0.0%
18,10081,University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill,"Chapel Hill, NC 27599",2022-2023,95%,3%,1%,1%,0%,0%,0%,0%,0%
19,10081,University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill,"Chapel Hill, NC 27599",2021-2022,93%,3%,2%,1%,1%,,,,
20,10081,University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill,"Chapel Hill, NC",2023-2024,21.0%,25.0%,18.0%,15.0%,10.0%,7.0%,3.0%,1.0%,0.0%
21,10081,University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill,"Chapel Hill, North Carolina",2023-2024,0,0,0,0,0,0,0,0,0
22,10145,Rensselaer Polytechnic Institute,Florida Polytechnic University,"4700 Research Way, Lakeland, Florida, 33805, United States",2023-2024,64.0%,13.0%,10.0%,8.0%,3.0%,1.0%,1.0%,0.0%,0.0%
23,10145,Rensselaer Polytechnic Institute,University of New Hampshire,"3 Garrison Avenue, Durham, New Hampshire, 03824, United States",2023-2024,8,Percent who had GPA between 3.75 and 3.99,Percent who had GPA between 3.50 and 3.74,Percent who had GPA between 3.25 and 3.49,Percent who had GPA between 3.00 and 3.24,Percent who had GPA between 2.50 and 2.99,Percent who had GPA between 2.0 and 2.49,Percent who had GPA between 1.0 and 1.99,Percent who had GPA below 1.0
24,10147,University of Rochester,University of Rochester,"300 Wilson Boulevard, New York, 14627-0251",2023-2024,23.5%,39.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
25,10147,University of Rochester,University of Rochester,"300 Wilson Boulevard, Rochester, NY 14627-0251",2022-2023,23.2%,38.9%,24.3%,9.5%,3.6%,0.7%,0.0%,0.0%,0.0%
26,10147,University of Rochester,University of Rochester,"PO Box 270251, Rochester, NY 14627-0251",2023-2024,23.5%,36.8%,24.8%,10.6%,3.5%,0.7%,0.1%,0.0%,0.0%
27,10147,University of Rochester,Pace University,"One Pace Plaza, New York, NY 10038",2021-2022,28.82%,0.00%,23.03%,20.61%,18.71%,7.64%,1.19%,0.00%,0.00%
28,10148,Brandeis University,Brandeis University,"415 South St., Waltham, MA 02453",2023-2024,54%,33%,8%,3%,1%,1%,0%,0%,0%
29,10148,Brandeis University,Brandeis University,"415 South St., Waltham, MA, 02453",2021-2022,30.36%,33.81%,20.48%,7.14%,4.64%,2.62%,0.71%,0.24%,0%
30,10149,Case Western Reserve University,Case Western Reserve University,"10900 Euclid Ave, Cleveland, Ohio 44106, United States of America",2022-2023,15.40%,50.70%,25.80%,,,,,,
31,10149,Case Western Reserve University,Case Western Reserve University,"10900 Euclid Ave, Cleveland, Ohio 44106, United States of America",2020-2021,7%,53%,29%,8%,3%,0%,0%,0%,0%
32,10149,Case Western Reserve University,University of Utah,"201 Presidents Circle, Salt Lake City, Utah, 84112, United States",2023-2024,11.0%,39.0%,24.0%,17.0%,7.0%,2.0%,0.0%,0.0%,0.0%
33,10149,Case Western Reserve University,University of Utah,"201 Presidents Circle, Salt Lake City, Utah, 84112, United States",2023-2024,11.0%,39.0%,24.0%,17.0%,7.0%,2.0%,0.0%,0.0%,0.0%
34,10188,Indiana University-Bloomington,Indiana University of Pennsylvania,"1011 South Drive, Indiana, PA 15705, United States",2021-2022,19.56%,12.97%,15.13%,14.30%,12.09%,18.99%,6.27%,0.63%,0.06%
35,10188,Indiana University-Bloomington,University of New Hampshire,"3 Garrison Avenue, Durham, New Hampshire, 03824, United States",2023-2024,8,Percent who had GPA between 3.75 and 3.99,Percent who had GPA between 3.50 and 3.74,Percent who had GPA between 3.25 and 3.49,Percent who had GPA between 3.00 and 3.24,Percent who had GPA between 2.50 and 2.99,Percent who had GPA between 2.0 and 2.49,Percent who had GPA between 1.0 and 1.99,Percent who had GPA below 1.0
36,10189,University of Denver,University of Denver,"2199 S. University Blvd., Denver, CO 80208 USA",2022-2023,0.00%,23.00%,17.00%,9.00%,5.00%,1.00%,0.00%,0.00%,0.00%
37,10189,University of Denver,University of Denver,"2199 S. University Blvd. Denver, CO 80208 USA",2021-2022,35%,22%,20%,12%,8%,3%,0%,0%,0%
38,10190,Florida State University,Florida Polytechnic University,"4700 Research Way, Lakeland, Florida, 33805, United States",2023-2024,64.0%,13.0%,10.0%,8.0%,3.0%,1.0%,1.0%,0.0%,0.0%
39,10191,North Carolina State University at Raleigh,North Carolina State University,"CB 7001, Raleigh, NC 27695-7001",2022-2023,20%,57%,19%,3%,1%,0%,0%,0%,0%
40,10191,North Carolina State University at Raleigh,North Carolina State University,"CB 7001, Raleigh, NC 27695-7001, USA",2022-2023,20%,57%,19%,3%,1%,0%,0%,0%,0%
41,10192,Stony Brook University,Stony Brook University,"Nicolls Road, Stony Brook, New York, 11794, United States",2023-2024,32.95%,31.94%,20.84%,8.69%,5.24%,0.28%,0.06%,0.00%,0.00%
42,10192,Stony Brook University,Stony Brook University,"Nicolls Road, Stony Brook, NY, 11794",2022-2023,43.0%,27.8%,15.4%,7.8%,5.1%,0.9%,,,
43,10192,Stony Brook University,Williams College,"880 Main Street, Williamstown, Massachusetts, 01267, United States",2023-2024,72.6%,27.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
44,10192,Stony Brook University,Stony Brook University,"Nicolls Road, Stony Brook, NY, 11794",2023-2024,42.26%,28.65%,17.66%,7.35%,3.64%,0.38%,0.06%,0.00%,0.00%
45,10253,Virginia Polytechnic Institute and State University,Virginia Polytechnic Institute and State University,"800 Drillfield Drive, Blacksburg, Virginia, 24061, United States",2023-2024,72%,18%,9%,3%,2%,0.39%,0%,0%,0%
46,10253,Virginia Polytechnic Institute and State University,Bates College,"2 Andrews Road, Lewiston, Maine, 04240, United States",2023-2024,7%,0%,0%,0%,0%,0%,0%,0%,0%
47,10254,Miami University-Oxford,University of Miami,"1306 Stanford Drive, Suite 1210, Coral Gables, Florida, 33124, U.S.A.",2023-2024,0%,45%,23%,9%,2%,1%,0%,0%,0%
48,10254,Miami University-Oxford,University of Miami,"Gables One Tower, Suite 260, 1320 S. Dixie Hwy., Coral Gables, FL 33146",2022-2023,35%,25%,20%,10%,5%,3%,1%,1%,0%
49,10255,University of California-Santa Cruz,"University of California, Santa Cruz","1156 High Street, Santa Cruz, CA 95064",2022-2023,55.6%,31.2%,10.7%,1.8%,0.7%,0.0%,0.0%,0.0%,0.0%
50,10255,University of California-Santa Cruz,Northern Michigan University,"1401 Presque Isle Avenue, Marquette, Michigan, 49855, United States",2023-2024,7,0,0,0,0,0,0,0,0
51,10255,University of California-Santa Cruz,University of New Hampshire,"3 Garrison Avenue, Durham, New Hampshire, 03824, United States",2023-2024,8%,20%,22%,17%,15%,12%,5%,1%,0%
52,10256,University of Delaware,University of Delaware,"Newark, DE 19716",2021-2022,17,19,24,31,1,0,0,0,0
53,10257,Colorado School of Mines,Brown University,"One Prospect Street, Providence, RI 02912 USA",2023-2024,28.0%,28.0%,28.0%,28.0%,28.0%,28.0%,28.0%,28.0%,28.0%
54,10258,Michigan State University,Michigan State University,"426 Auditorium Rd, East Lansing, MI 48824",2021-2022,28.7%,30.6%,22.3%,12.6%,3.8%,1.8%,0.2%,0.0%,0.0%
55,10258,Michigan State University,Michigan State University,"426 Auditorium Rd, East Lansing, MI 48824",2021-2022,22.92%,27.81%,23.22%,15.63%,8.24%,2.10%,0.06%,0.02%,0.01%
56,10259,University of Iowa,University of Iowa,"101 Jessup Hall, Iowa City, IA 52242, USA",2023-2024,33.11%,29.89%,17.50%,13.01%,4.80%,1.64%,0.04%,0.00%,0.02%
57,10259,University of Iowa,University of Iowa,"101 Jessup Hall, Iowa City, IA 52242, USA",2022-2023,33.00%,27.87%,17.75%,13.01%,6.21%,2.15%,0.02%,0.00%,0.00%
58,10313,Boston College,Boston University,"One Silber Way, Boston MA 02215",2023-2024,39%,39%,22%,0%,0%,0%,0%,0%,0%
59,10313,Boston College,Boston University,"One Silber Way, Boston MA 02215",2023-2024,38%,37%,24%,1%,0%,0%,0%,0%,0%
60,10313,Boston College,Boston College,"140 Commonwealth Avenue, Chestnut Hill, MA 02467, U.S.",2021-2022,N/AV,N/AV,N/AV,N/AV,N/AV,N/AV,N/AV,N/AV,N/AV
61,10314,University of Miami,University of Miami,"1306 Stanford Drive, Suite 1210, Coral Gables, Florida, 33124, U.S.A.",2023-2024,0%,45%,23%,9%,2%,1%,0%,0%,0%
62,10314,University of Miami,University of Miami,"1320 S. Dixie Hwy., Coral Gables, FL 33146",2022-2023,35%,25%,20%,10%,5%,3%,1%,1%,0%
63,10355,Pepperdine University,Pepperdine University,"24255 Pacific Coast Highway, Malibu, CA 90263",2023-2024,11%,35%,28%,17%,7%,2%,0%,0%,0%
64,10355,Pepperdine University,Pepperdine University,"24255 Pacific Coast Highway, Malibu, CA 90263",2022-2023,19%,40%,28%,9%,4%,1%,<1%,0%,0%
65,10355,Pepperdine University,Pepperdine University,"24255 Pacific Coast Highway, Malibu, CA 90263",2021-2022,14%,42%,29%,10%,4%,1%,0%,0%,0%
66,10357,George Washington University,The George Washington University,"1918 F Street N.W., Washington, D.C. 20052 USA",2021-2022,43.66%,78.01%,95.99%,4.01%,0.32%,,,,
67,10357,George Washington University,The George Washington University,"1918 F Street, N.W., Washington, D.C. 20052 USA",2021-2022,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
68,10358,Southern Methodist University,Southern Methodist University,"6425 Boaz Lane, Dallas, TX 75205",2023-2024,20%,25%,30%,15%,5%,3%,1%,0.5%,0.5%
69,10358,Southern Methodist University,University of Southern Mississippi,"118 College Drive, Hattiesburg, Mississippi, 39406, USA",2023-2024,14.56%,21.58%,15.92%,14.21%,12.97%,14.03%,6.72%,0%,0%
70,10359,The University of Texas at Austin,The University of Texas at Austin,"110 Inner Campus Drive, Austin, TX 78705, USA",2022-2023,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
71,10359,The University of Texas at Austin,The University of Texas Permian Basin,"4901 E University Blvd, Odessa, TX, 79762, USA",2023-2024,12.1%,16.0%,23.7%,16.1%,19.1%,12.1%,1.0%,0.0%,0.0%
72,10360,Purdue University-Main Campus,Purdue University,"475 Stadium Drive, West Lafayette, Indiana, 47906, United States",2023-2024,33.8%,32.5%,,,,,,,
73,10360,Purdue University-Main Campus,Purdue University,"Ernest C. Young Hall, 155 S Grant St, West Lafayette, IN 47907, USA",2022-2023,12.71%,10.77%,4.02%,,,,0.24%,0.07%,
74,10361,Syracuse University,Pitzer College,"1050 N. Mills Avenue, Claremont, California, 91711, United States",2023-2024,45.5%,33.7%,17.5%,2.0%,0.4%,0.8%,0.0%,0.0%,0.0%
75,10446,Clemson University,Clemson University,"105 Sikes Hall, Clemson, SC 29634, United States",2023-2024,76%,12%,7%,3%,1%,0.5%,0.5%,0%,0%
76,10446,Clemson University,Clemson University,"Clemson, South Carolina, USA",2023-2024,57%,86%,99%,N/A,N/A,N/A,N/A,N/A,N/A
77,10446,Clemson University,Unknown College,Unknown Address,2023-2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
78,10447,Yeshiva University,Yeshiva University,"500 W 185 St, New York, NY 10033",2020-2021,21.68%,13.10%,22.24%,13.08%,13.08%,12.52%,2.99%,1.31%,0%
79,10447,Yeshiva University,Mount Marty University,"1105 W 8th Street, Yankton, SD 57078",2023-2024,13%,22%,30%,13%,10%,11%,1%,0%,0%
80,10447,Yeshiva University,University of Connecticut,"Storrs, CT 06269",2022-2023,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
81,10448,Brigham Young University-Provo,Mount Marty University,"1105 W 8th Street, Yankton, SD 57078",2023-2024,13%,22%,30%,13%,10%,11%,1%,0%,0%
82,10448,Brigham Young University-Provo,University of Connecticut,"Storrs, CT 06269",2022-2023,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
83,10448,Brigham Young University-Provo,University of Connecticut,"Storrs, CT 06269",2022-2023,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
84,10449,Rutgers University-New Brunswick,Rutgers University — New Brunswick,"65 Davidson Road, Room #202, Piscataway, NJ 08854-8097 USA",2022-2023,29%,62%,91%,9%,1%,0%,0%,0%,0%
85,10449,Rutgers University-New Brunswick,Santa Clara University,"500 El Camino Real, Santa Clara, California, 95053, United States of America",2023-2024,15.00,45.00,7.00,11.00,4.00,1.00,0.00,0.00,0.00
86,10450,Baylor University,Baylor University,"1320 S. 7th Street, Waco, TX 76706",2023-2024,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
87,10450,Baylor University,Baylor University,"1320 S. 7th Street, Waco, TX 76706",2022-2023,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
88,10450,Baylor University,Baylor University,"1320 S. 7th Street, Waco, TX 76706",2021-2022,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
89,10451,Stevens Institute of Technology,Stevens Institute of Technology,"1 Castle Point Terrace, Hoboken, New Jersey, 07030, United States",2023-2024,69.09,11.93,12.45,3.73,2.18,0.52,0.10,0.00,0.00
90,10451,Stevens Institute of Technology,Stevens Institute of Technology,"1 Castle Point on Hudson, Hoboken, NJ 07030, USA",2022-2023,0%,0%,0%,0%,0%,0%,0%,0%,0%
91,10452,University of Minnesota-Twin Cities,University of Minnesota — Twin Cities Campus,"100 Church St. SE, Minneapolis, MN, 55455, USA",2022-2023,40.8,76,98.3,1.7,0.3,,,,
92,10452,University of Minnesota-Twin Cities,University of Minnesota — Twin Cities Campus,"100 Church St. SE, Minneapolis, MN, 55455, USA",2021-2022,100%,,,,,,,,
93,10452,University of Minnesota-Twin Cities,Bradley University,"1501 W. Bradley Ave., Peoria, Illinois, 61625, United States",2023-2024,39.3%,20.4%,0%,0%,0%,0%,0%,0%,0%
94,10789,SUNY College of Environmental Science and Forestry,Mount Marty University,"1105 W 8th Street, Yankton, SD 57078",2023-2024,13%,22%,30%,13%,10%,11%,1%,0%,0%
95,10789,SUNY College of Environmental Science and Forestry,University of Utah,"201 Presidents Circle, Salt Lake City, Utah, 84112, United States",2023-2024,11.0%,39.0%,24.0%,17.0%,7.0%,2.0%,0.0%,0.0%,0.0%
96,10789,SUNY College of Environmental Science and Forestry,University of Utah,"201 Presidents Circle, Salt Lake City, Utah, 84112, United States",2023-2024,11.0%,39.0%,24.0%,17.0%,7.0%,2.0%,0.0%,0.0%,0.0%
97,10790,University at Buffalo,University at Buffalo,"12 Capen Hall, Buffalo, New York 14260-1660",2023-2024,19.7%,58.2%,21.1%,1.0%,0%,0%,0%,0%,0%
98,10790,University at Buffalo,University at Buffalo,"12 Capen Hall, Buffalo, New York 14260-1660",2022-2023,28.9%,33%,30%,5%,3%,0.1%,0%,0%,0%
99,10790,University at Buffalo,The University of Texas Permian Basin,"4901 E University Blvd, Odessa, TX, 79762, USA",2023-2024,12.1%,16.0%,23.7%,16.1%,19.1%,12.1%,1.0%,0.0%,0.0%
100,10791,Illinois Institute of Technology,Illinois Institute of Technology,"10 W. 35th St, Chicago, IL 60616",2022-2023,68.40%,15.30%,11.60%,3.10%,0.80%,0.80%,0.00%,0.00%,0.00%
101,10791,Illinois Institute of Technology,Illinois Institute of Technology,"10 West 35th Street, Chicago, IL 60616",2020-2021,53.00%,20.00%,16.00%,8.00%,2.00%,1.00%,0.00%,0.00%,0.00%
102,10791,Illinois Institute of Technology,Mount Marty University,"1105 W 8th Street, Yankton, SD 57078",2023-2024,13%,22%,30%,13%,10%,11%,1%,0%,0%
103,10792,The University of Alabama,The University of Alabama,"Tuscaloosa, AL 35487-0132 USA",2022-2023,38%,17%,,,,,,,
104,10792,The University of Alabama,The University of Alabama,"Box 870100, 719 University Blvd, Tuscaloosa, AL 35487-0100 USA",2020-2021,42%,18%,14%,10%,8%,7%,1%,0%,0%
105,10792,The University of Alabama,Western New England University,"1215 Wilbraham Road, Springfield, MA, 01119",2023-2024,36.43%,10.69%,12.66%,12.10%,11.11%,11.95%,4.92%,0.14%,0.00%
106,10792,The University of Alabama,University of South Alabama,"307 N. University Blvd., Mobile, AL, 36688, United States",2022-2023,34.76%,19.15%,16.60%,13.26%,8.05%,7.19%,0.93%,0.06%,0.00%
107,10793,University of Oregon,University of Oregon,"1226 University of Oregon, Eugene, OR 97403-1226",2022-2023,32.8%,21.7%,20.0%,13.6%,8.5%,3.5%,0.0%,0.0%,0.0%
108,10793,University of Oregon,University of Oregon,"1226 University of Oregon, Eugene, OR 97403-1226",2020-2021,23%,25%,21%,16%,10%,5%,0%,,
109,10918,University of Pittsburgh-Pittsburgh Campus,University of Pittsburgh,"4200 Fifth Avenue, Pittsburgh, Pennsylvania, 15260, United States",2023-2024,67%,17%,10%,4%,1%,1%,0%,0%,0%
110,10918,University of Pittsburgh-Pittsburgh Campus,University of Pittsburgh,"4200 Fifth Avenue, Pittsburgh, PA 15260, United States",2022-2023,Coming soon,Coming soon,Coming soon,Coming soon,Coming soon,Coming soon,Coming soon,Coming soon,Coming soon
111,10918,University of Pittsburgh-Pittsburgh Campus,University of Pittsburgh - Pittsburgh Campus,"4200 Fifth Avenue, Pittsburgh, PA 15260, United States",2021-2022,Coming soon,Coming soon,Coming soon,Coming soon,Coming soon,Coming soon,Coming soon,Coming soon,Coming soon
112,10921,Seton Hall University,Seton Hall University,"400 South Orange Avenue, South Orange, NJ 07079",2023-2024,44%,28%,17%,8%,4%,0%,0%,0%,0%
113,10921,Seton Hall University,Seton Hall University,"400 South Orange Avenue, South Orange NJ 07079",2004-2005,0%,0%,0%,0%,73%,27%,0%,0%,0%
114,10921,Seton Hall University,Stevens Institute of Technology,"1 Castle Point Terrace, Hoboken, New Jersey, 07030, United States",2023-2024,69.09,11.93,12.45,3.73,2.18,0.52,0.10,0.00,0.00
115,10922,Temple University,Temple University,"1801 North Broad Street, Philadelphia, PA 19122",2022-2023,18.99%,14.50%,16.58%,15.61%,13.57%,17.28%,3.38%,0.07%,0.02%
116,10922,Temple University,Temple University,"Main, Ambler, and Harrisburg Campus",2023-2024,100,0,0,0,0,0,0,0,0
117,10922,Temple University,Temple University,"Philadelphia, PA",2023-2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
118,10922,Temple University,Temple University,"1801 N. Broad Street, Philadelphia, PA 19122",2023-2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
119,10923,University of California-Riverside,"University of California, Riverside","900 University Avenue, Riverside, CA 92521",2023-2024,40.9%,,,,,,,,
120,10924,University of Kansas,University of Kansas,"1450 Jayhawk Boulevard, Lawrence, KS 66045",2023-2024,10%,20%,30%,15%,10%,10%,3%,1%,1%
121,10924,University of Kansas,University of Kansas,"1450 Jayhawk Boulevard, Lawrence, KS 66045",2022-2023,35%,22%,15%,11%,8%,7%,2%,0%,0%
122,10924,University of Kansas,University of Kansas,"Lawrence, KS, USA",2023-2024,0%,0%,0%,0%,0%,0%,0%,0%,0%
123,10924,University of Kansas,University of Kansas,"University of Kansas, Lawrence, KS 66045",2023-2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
124,10925,University of St Thomas (MN),University of St. Thomas,"3800 Montrose Blvd., Houston, TX 77006",2021-2022,21.7%,18.4%,22.3%,14.9%,9.8%,9.4%,2.2%,0.2%,1.1%
125,10925,University of St Thomas (MN),University of St. Thomas,"3800 Montrose Blvd., Houston, TX 77006",2020-2021,20.05%,24.45%,17.86%,14.29%,12.64%,7.14%,0.00%,0.27%,3.30%
126,10925,University of St Thomas (MN),The University of Texas Permian Basin,"4901 E University Blvd, Odessa, TX, 79762, USA",2023-2024,7.0%,9.5%,12.5%,7.8%,8.9%,5.5%,0.2%,0.0%,0.0%
127,10926,Catholic University of America,DeSales University,"2755 Station Avenue, Center Valley, PA 18034",2022-2023,23.46%,32.03%,15.50%,10.54%,11.92%,5.76%,0.79%,0.00%,0.00%
128,10926,Catholic University of America,Marywood University,"2300 Adams Avenue, Scranton, PA 18509",2022-2023,15%,20%,25%,18%,12%,7%,2%,1%,0%
129,10926,Catholic University of America,Aquinas College,"1700 Fulton St. E, Grand Rapids, MI 49506",2023-2024,15%,25%,30%,20%,5%,3%,1%,0.5%,0.5%
130,11037,University of Nebraska-Lincoln,University of Nebraska - Lincoln,"1400 R Street, Lincoln NE 68588-0419 USA",2021-2022,17%,35%,20%,12%,9%,6%,1%,,
131,11038,University of Oklahoma-Norman Campus,Example University,"123 College Ave, College Town, USA",2023-2024,15%,20%,25%,15%,10%,10%,3%,1%,1%
132,11038,University of Oklahoma-Norman Campus,The University of Oklahoma,"660 Parrington Oval, Norman, Oklahoma 73019-0390 USA",2022-2023,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
133,11038,University of Oklahoma-Norman Campus,University of Oklahoma-Norman Campus,"Norman, OK",2023-2024,10%,20%,30%,15%,10%,10%,3%,1%,1%
134,11038,University of Oklahoma-Norman Campus,The University of Oklahoma,Norman Campus,2022-2023,13.3%,35.7%,25.7%,16.3%,7.7%,1.2%,0.1%,0.0%,0.0%
135,11038,University of Oklahoma-Norman Campus,Bates College,"2 Andrews Road, Lewiston, Maine, 04240, United States",2023-2024,7%,0%,0%,0%,0%,0%,0%,0%,0%
136,11038,University of Oklahoma-Norman Campus,The University of Oklahoma,Norman Campus,2022-2023,20%,25%,30%,15%,5%,3%,1%,0.5%,0.5%
137,11038,University of Oklahoma-Norman Campus,The University of Oklahoma,Norman Campus,2022-2023,Data not provided,Data not provided,Data not provided,Data not provided,Data not provided,Data not provided,Data not provided,Data not provided,Data not provided
138,11039,University of the Pacific,Unknown College,Unknown Address,2023-2024,0%,0%,0%,0%,0%,0%,0%,0%,0%
139,11039,University of the Pacific,University of the Pacific,"3601 Pacific Avenue, Stockton, CA, 95211, USA",2023-2024,8.30%,39.22%,24.17%,14.19%,7.63%,5.49%,0.40%,0.00%,0.00%
140,11039,University of the Pacific,University of the Pacific,"3601 Pacific Avenue, Stockton, CA, 95211, USA",2023-2024,10%,20%,30%,15%,10%,10%,3%,1%,1%
141,11039,University of the Pacific,Williams College,"880 Main Street, Williamstown, Massachusetts, 01267, United States",2023-2024,72.6%,21.0%,5.0%,1.4%,0.0%,0.0%,0.0%,0.0%,0.0%
142,11039,University of the Pacific,Bates College,"2 Andrews Road, Lewiston, Maine, 04240, United States",2023-2024,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
143,11040,University of Utah,University of Utah,"201 Presidents Circle, Salt Lake City, Utah, 84112, United States",2023-2024,11.0%,39.0%,24.0%,17.0%,7.0%,2.0%,0.0%,0.0%,0.0%
144,11040,University of Utah,University of Utah,"201 Presidents Circle, Salt Lake City, Utah, 84112, United States",2023-2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
145,11040,University of Utah,Unknown University,Unknown Address,2023-2024,11.0%,39.0%,24.0%,17.0%,7.0%,2.0%,0.0%,0.0%,0.0%
146,11040,University of Utah,Unknown University,Unknown Address,2023-2024,0,0,0,0,0,0,0,0,0
147,11040,University of Utah,Unknown University,Unknown Address,2023-2024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
148,11040,University of Utah,University of Utah,"201 Presidents Cir, Salt Lake City, UT 84112",2023-2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
149,11040,University of Utah,Unknown College,Unknown Address,2023-2024,43.0%,7.0%,13.0%,62.0%,38.0%,0.0%,18,21,18
150,11041,Michigan Technological University,Michigan Technological University,"1400 Townsend Drive, Houghton, MI 49931",2022-2023,31.84%,31.91%,18.74%,9.55%,5.64%,2.32%,,,
151,11041,Michigan Technological University,University of Michigan,"500 S. State Street, Ann Arbor, MI 48109 USA",2023-2024,Percent who had GPA of 4.0,Percent who had GPA between 3.75 and 3.99,Percent who had GPA between 3.50 and 3.74,Percent who had GPA between 3.25 and 3.49,Percent who had GPA between 3.00 and 3.24,Percent who had GPA between 2.50 and 2.99,Percent who had GPA between 2.0 and 2.49,Percent who had GPA between 1.0 and 1.99,Percent who had GPA below 1.0
152,11041,Michigan Technological University,Mount Marty University,"1105 W 8th Street, Yankton, SD 57078",2023-2024,13%,22%,30%,13%,10%,11%,1%,0%,0%
153,11041,Michigan Technological University,Williams College,"880 Main Street, Williamstown, Massachusetts, 01267, United States",2023-2024,72.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
